"PRODUCT_ID","PRODUCT_NAME","PRICE","CATEGORY","PRD_INFO","STOCK","PRD_DETAIL","IMAGE_URL","PHOTO_THUMB"
"PD_00055","_가람_ 성주 꿀 참외 아삭한 햇 참외, 5kg 못난이혼합과, 1박스 - 참외",13460,"과일","아삭하고 시원한 맛이 일품인 한국의 대표 여름 과일, 참외입니다. 수분과 비타민 C가 풍부해 더운 날씨에 갈증 해소와 건강 관리에 도움을 줍니다.",200,"/projectPhoto/과일/참외/_가람_ 성주 꿀 참외 아삭한 햇 참외, 5kg 못난이혼합과, 1박스 - 참외/상세정보.png","productImage/PROJECT_PHOTO/과일/참외/_가람_ 성주 꿀 참외 아삭한 햇 참외, 5kg 못난이혼합과, 1박스 - 참외/main.jpg","productImage/PROJECT_PHOTO/fruit/chamoe/garam/"
"PD_00056","몽키프룻 프리미엄 고당도 생체리, 대과500g, 1개 - 체리",18800,"과일","체리는 항산화 작용에 특히 도움을 주는 과일로 통풍에도 효과가 있다. 크기가 큰 것(10.5R)으로 칠레에서 직수입하여 판매하고 있다.",200,"/projectPhoto/과일/체리/몽키프룻 프리미엄 고당도 생체리, 대과500g, 1개 - 체리/상세정보.png","productImage/PROJECT_PHOTO/과일/체리/몽키프룻 프리미엄 고당도 생체리, 대과500g, 1개 - 체리/main.jpg","productImage/PROJECT_PHOTO/fruit/cherry/monkey/"
"PD_00057","선한마켓) 항공직송 체리 프리미엄 로얄과 22Brix, 로얄과 1kg, 1박스 - 체리",30800,"과일","체리는 항산화 작용에 특히 도움을 주는 과일로 통풍에도 효과가 있다. 크기가 로얄(9.5R)로 칠레에서 직수입하여 판매하고 있다. 미국, 칠레 등 검증된 체리 농장에서 직수입해서 판매하고 있으며, 배송 전 다시 한번 선별 과정을 거쳐서 배송된다.",200,"/projectPhoto/과일/체리/선한마켓) 항공직송 체리 프리미엄 로얄과 22Brix, 로얄과 1kg, 1박스 - 체리/상세정보.png","productImage/PROJECT_PHOTO/과일/체리/선한마켓) 항공직송 체리 프리미엄 로얄과 22Brix, 로얄과 1kg, 1박스 - 체리/main.jpg","productImage/PROJECT_PHOTO/fruit/cherry/sunhan/"
"PD_00058","프레시엘 고당도 프리미엄 상큼달달 생 체리, 생 체리 로얄 특품..., 1박스 - 체리",15570,"과일","체리는 항산화 작용에 특히 도움을 주는 과일로 통풍에도 효과가 있다. 크기가 로얄(9.5R)로 미국에서도 오랫동안 체리를 농사해온 곳에서 수입하여 판매하고 있다.",200,"/projectPhoto/과일/체리/프레시엘 고당도 프리미엄 상큼달달 생 체리, 생 체리 로얄 특품..., 1박스 - 체리/상세정보.png","productImage/PROJECT_PHOTO/과일/체리/프레시엘 고당도 프리미엄 상큼달달 생 체리, 생 체리 로얄 특품..., 1박스 - 체리/main.jpg","productImage/PROJECT_PHOTO/fruit/cherry/presiel/"
"PD_00059","온브릭스 프리미엄 점보 체리, 500g, 1개 - 체리",15000,"과일","체리는 항산화 작용에 특히 도움을 주는 과일로 통풍에도 효과가 있다. 크기는 보통(11.0R)으로 미국애서 생산되었다.",200,"/projectPhoto/과일/체리/온브릭스 프리미엄 점보 체리, 500g, 1개 - 체리/상세정보.png","productImage/PROJECT_PHOTO/과일/체리/온브릭스 프리미엄 점보 체리, 500g, 1개 - 체리/main.jpg","productImage/PROJECT_PHOTO/fruit/cherry/onbrix/"
"PD_00060","곰곰 미국산 체리, 400g (대), 1개 - 체리",8780,"과일","체리는 항산화 작용에 특히 도움을 주는 과일로 통풍에도 효과가 있다. 크기가 큰 것(10.5R)으로 미국애서 생산되었다.",200,"/projectPhoto/과일/체리/곰곰 미국산 체리, 400g (대), 1개 - 체리/상세정보.png","productImage/PROJECT_PHOTO/과일/체리/곰곰 미국산 체리, 400g (대), 1개 - 체리/main.jpg","productImage/PROJECT_PHOTO/fruit/cherry/gomgom/"
"PD_00062","돌 스위티오 황금 파인애플 1.3kg내외, 1.3kg내외, 4개 - 파인애플",20000,"과일","비타민 C가 풍부하여 면역력 강화에 좋은 파인애플입니다. 특히 육류 소화에 도움을 주는 효소가 많아 식후에 드시기에 좋습니다. 일반 파인애플보다 당도가 높고 신맛이 적은 프리미엄 골드 파인애플을 필리핀 현지에서 수입하여 판매하고 있습니다.",200,"/projectPhoto/과일/파인애플/돌 스위티오 황금 파인애플 1.3kg내외, 1.3kg내외, 4개 - 파인애플/상세정보.png","productImage/PROJECT_PHOTO/과일/파인애플/돌 스위티오 황금 파인애플 1.3kg내외, 1.3kg내외, 4개 - 파인애플/main.jpg","productImage/PROJECT_PHOTO/fruit/pineapple/dole/"
"PD_00063","스미후루 감숙왕 허니팟 파인애플 2입, 2.4kg, 1봉 - 파인애플",7990,"과일","파인애플은 비타민 C가 풍부하고 특히 육류 관련 소화에 도움을 준다. 허니팟 파인애플은 당도가 훨씬 높고 과육이 부드러운 품종이다. 다른 어떤 파인애플보다 신맛이 적고 단맛이 강하게 느껴지는 것이 특징이다.",200,"/projectPhoto/과일/파인애플/스미후루 감숙왕 허니팟 파인애플 2입, 2.4kg, 1봉 - 파인애플/상세정보.png","productImage/PROJECT_PHOTO/과일/파인애플/스미후루 감숙왕 허니팟 파인애플 2입, 2.4kg, 1봉 - 파인애플/main.jpg","productImage/PROJECT_PHOTO/fruit/pineapple/smihuru/"
"PD_00064","(초특가 3000개 한정)_나씨네_ (만나) 고당도 골드파인애플 2개(3kg 내외), 8과(12kg 내외..., 1세트 - 파인애플",41610,"과일","파인애플은 비타민 C가 풍부하고 특히 육류 관련 소화에 도움을 준다. 골드 파인애플은 일반 파인애플보다 당도가 높고 신맛이 적은 프리미엄 품종으로 필리핀에서 생산된 것을 수입하여 판매하고 있다.",200,"/projectPhoto/과일/파인애플/(초특가 3000개 한정)_나씨네_ (만나) 고당도 골드파인애플 2개(3kg 내외), 8과(12kg 내외..., 1세트 - 파인애플/상세정보.jpg","productImage/PROJECT_PHOTO/과일/파인애플/(초특가 3000개 한정)_나씨네_ (만나) 고당도 골드파인애플 2개(3kg 내외), 8과(12kg 내외..., 1세트 - 파인애플/main.jpg","productImage/PROJECT_PHOTO/fruit/pineapple/nassi/"
"PD_00065","특대 델몬트 허니글로우 파인애플 - 파인애플",18810,"과일","파인애플은 비타민 C가 풍부하고 특히 육류 관련 소화에 도움을 준다. 다른 파인애플은 후숙이 필요하지만 허니글로우 파인애플은 후숙과정이 필요없이 바로 맛볼 수 있다. 허니팟만큼 달진 않지만 일반 파인애플보다는 신맛이 적어 단맛이 잘 느껴지는 것도 특징이다.",200,"/projectPhoto/과일/파인애플/특대 델몬트 허니글로우 파인애플 - 파인애플/상세정보.png","productImage/PROJECT_PHOTO/과일/파인애플/특대 델몬트 허니글로우 파인애플 - 파인애플/main.jpg","productImage/PROJECT_PHOTO/fruit/pineapple/delmont/"
